Food	Serving Size	Calories	Fat	Saturated Fat	Cholesterol	Sodium	Carbs	Dietery Fiber	Sugar	Protein	Labels	Ingredients
Mike's Hot Italian Ham (Regular)	Regular	93.63	3.57	1.35	32.34	797.28	1.71	0	1.71	14.1		(Ham cured with water dextrose, contains 2% or less of: salt, sugar, sodium phosphates, sodium ascorbate, sodium erythorbate, sodium nitrite)
#2 Jersey Shore's Favorite Ham (Regular)	Regular	92.07	3.51	1.33	31.8	783.99	1.68	0	1.68	13.87		(Ham cured with water dextrose, contains 2% or less of: salt, sugar, sodium phosphates, sodium ascorbate, sodium erythorbate, sodium nitrite)
#3 Ham and Provolone Ham (Regular)	Regular	110.8	4.22	1.6	38.27	943.45	2.02	0	2.02	16.68		(Ham cured with water dextrose, contains 2% or less of: salt, sugar, sodium phosphates, sodium ascorbate, sodium erythorbate, sodium nitrite)
#5 The Super Sub Ham (Regular)	Regular	56.18	2.14	0.81	19.4	478.37	1.03	0	1.03	8.46		(Ham cured with water dextrose, contains 2% or less of: salt, sugar, sodium phosphates, sodium ascorbate, sodium erythorbate, sodium nitrite)
#13 The Original Italian Ham (Regular)	Regular	56.18	2.14	0.81	19.4	478.37	1.03	0	1.03	8.46		(Ham cured with water dextrose, contains 2% or less of: salt, sugar, sodium phosphates, sodium ascorbate, sodium erythorbate, sodium nitrite)
#8 Club Sub Ham (Regular)	Regular	74.9	2.86	1.08	25.87	637.82	1.37	0	1.37	11.28		(Ham cured with water dextrose, contains 2% or less of: salt, sugar, sodium phosphates, sodium ascorbate, sodium erythorbate, sodium nitrite)
#11 Stickball Special Ham (Regular)	Regular	92.07	3.51	1.33	31.8	783.99	1.68	0	1.68	13.87		(Ham cured with water dextrose, contains 2% or less of: salt, sugar, sodium phosphates, sodium ascorbate, sodium erythorbate, sodium nitrite)
Mike's Hot Italian Ham (Regular)	Regular	93.63	3.57	1.35	32.34	797.28	1.71	0	1.71	14.1		(Ham cured with water dextrose, contains 2% or less of: salt, sugar, sodium phosphates, sodium ascorbate, sodium erythorbate, sodium nitrite)
#4 Ham, Egg and Cheese Ham (Regular)	Regular	93.63	3.57	1.35	32.34	797.28	1.71	0	1.71	14.1		(Ham cured with water dextrose, contains 2% or less of: salt, sugar, sodium phosphates, sodium ascorbate, sodium erythorbate, sodium nitrite)
#8 Cheese, Ham, Bacon, Peppers and Mushrooms Ham (Regular)	Regular	39.01	1.49	0.56	13.47	332.2	0.71	0	0.71	5.88		(Ham cured with water dextrose, contains 2% or less of: salt, sugar, sodium phosphates, sodium ascorbate, sodium erythorbate, sodium nitrite)
Mike's Hot Italian Pepperoni (Regular)	Regular	66.27	5.91	2.04	13.22	225.85	0.62	0.07	0.47	2.65		(Pork, beef, salt, dextrose, spices, lactic acid starter culture, oleoresin of paprika, dehydrated garlic, sodium nitrite, BHA*, BHT*, citric acid*) (*BHA, BHT, citric acid added to help protect flavor)
Chicken Salad Sub Pepperoni (Regular)	Regular	96.28	8.6	3	19.39	352.04	0.67	0.11	0.42	4.03		Pork, beef, salt contains 2% or less of spices, lactic acid starter culture, oleoresin of paprika, sodium erythorbate, sodium nitrite, dehydrated garlic, BHA, BHT, citric acid.
#2 Jersey Shore's Favorite Pepperoni (Regular)	Regular	96.28	8.6	3	19.39	352.04	0.67	0.11	0.42	4.03		Pork, beef, salt contains 2% or less of spices, lactic acid starter culture, oleoresin of paprika, sodium erythorbate, sodium nitrite, dehydrated garlic, BHA, BHT, citric acid.
#3 Ham and Provolone Pepperoni (Regular)	Regular	96.28	8.6	3	19.39	352.04	0.67	0.11	0.42	4.03		Pork, beef, salt contains 2% or less of spices, lactic acid starter culture, oleoresin of paprika, sodium erythorbate, sodium nitrite, dehydrated garlic, BHA, BHT, citric acid.
#5 The Super Sub Pepperoni (Regular)	Regular	96.28	8.6	3	19.39	352.04	0.67	0.11	0.42	4.03		Pork, beef, salt contains 2% or less of spices, lactic acid starter culture, oleoresin of paprika, sodium erythorbate, sodium nitrite, dehydrated garlic, BHA, BHT, citric acid.
#7 Turkey and Provolone Pepperoni (Regular)	Regular	96.28	8.6	3	19.39	352.04	0.67	0.11	0.42	4.03		Pork, beef, salt contains 2% or less of spices, lactic acid starter culture, oleoresin of paprika, sodium erythorbate, sodium nitrite, dehydrated garlic, BHA, BHT, citric acid.
#10 Tuna Fish Pepperoni (Regular)	Regular	96.28	8.6	3	19.39	352.04	0.67	0.11	0.42	4.03		Pork, beef, salt contains 2% or less of spices, lactic acid starter culture, oleoresin of paprika, sodium erythorbate, sodium nitrite, dehydrated garlic, BHA, BHT, citric acid.
#6  Roast Beef and Provolone Pepperoni (Regular)	Regular	96.28	8.6	3	19.39	352.04	0.67	0.11	0.42	4.03		Pork, beef, salt contains 2% or less of spices, lactic acid starter culture, oleoresin of paprika, sodium erythorbate, sodium nitrite, dehydrated garlic, BHA, BHT, citric acid.
#13 The Original Italian Pepperoni (Regular)	Regular	53.01	4.72	1.64	10.58	180.68	0.5	0.06	0.37	2.12		(Pork, beef, salt, dextrose, spices, lactic acid starter culture, oleoresin of paprika, dehydrated garlic, sodium nitrite, BHA*, BHT*, citric acid*) (*BHA, BHT, citric acid added to help protect flavor)
#13 The Original Italian Pepperoni (Regular)	Regular	96.28	8.6	3	19.39	352.04	0.67	0.11	0.42	4.03		Pork, beef, salt contains 2% or less of spices, lactic acid starter culture, oleoresin of paprika, sodium erythorbate, sodium nitrite, dehydrated garlic, BHA, BHT, citric acid.
#8 Club Sub Pepperoni (Regular)	Regular	96.28	8.6	3	19.39	352.04	0.67	0.11	0.42	4.03		Pork, beef, salt contains 2% or less of spices, lactic acid starter culture, oleoresin of paprika, sodium erythorbate, sodium nitrite, dehydrated garlic, BHA, BHT, citric acid.
#9 Club Supreme Pepperoni (Regular)	Regular	96.28	8.6	3	19.39	352.04	0.67	0.11	0.42	4.03		Pork, beef, salt contains 2% or less of spices, lactic acid starter culture, oleoresin of paprika, sodium erythorbate, sodium nitrite, dehydrated garlic, BHA, BHT, citric acid.
#4 The Number Four Pepperoni (Regular)	Regular	96.28	8.6	3	19.39	352.04	0.67	0.11	0.42	4.03		Pork, beef, salt contains 2% or less of spices, lactic acid starter culture, oleoresin of paprika, sodium erythorbate, sodium nitrite, dehydrated garlic, BHA, BHT, citric acid.
#11 Stickball Special Pepperoni (Regular)	Regular	96.28	8.6	3	19.39	352.04	0.67	0.11	0.42	4.03		Pork, beef, salt contains 2% or less of spices, lactic acid starter culture, oleoresin of paprika, sodium erythorbate, sodium nitrite, dehydrated garlic, BHA, BHT, citric acid.
#12 Cancro Special Pepperoni (Regular)	Regular	53.01	4.72	1.64	10.58	180.68	0.5	0.06	0.37	2.12		(Pork, beef, salt, dextrose, spices, lactic acid starter culture, oleoresin of paprika, dehydrated garlic, sodium nitrite, BHA*, BHT*, citric acid*) (*BHA, BHT, citric acid added to help protect flavor)
#12 Cancro Special Pepperoni (Regular)	Regular	96.28	8.6	3	19.39	352.04	0.67	0.11	0.42	4.03		Pork, beef, salt contains 2% or less of spices, lactic acid starter culture, oleoresin of paprika, sodium erythorbate, sodium nitrite, dehydrated garlic, BHA, BHT, citric acid.
Chipotle Turkey Sub Pepperoni (Regular)	Regular	96.28	8.6	3	19.39	352.04	0.67	0.11	0.42	4.03		Pork, beef, salt contains 2% or less of spices, lactic acid starter culture, oleoresin of paprika, sodium erythorbate, sodium nitrite, dehydrated garlic, BHA, BHT, citric acid.
Pepperoni & Cheese Pepperoni (Regular)	Regular	298.03	26.56	9.2	59.46	1015.81	2.79	0.34	2.09	11.94		(Pork, beef, salt, dextrose, spices, lactic acid starter culture, oleoresin of paprika, dehydrated garlic, sodium nitrite, BHA*, BHT*, citric acid*) (*BHA, BHT, citric acid added to help protect flavor)
Pepperoni & Cheese Pepperoni (Regular)	Regular	96.28	8.6	3	19.39	352.04	0.67	0.11	0.42	4.03		Pork, beef, salt contains 2% or less of spices, lactic acid starter culture, oleoresin of paprika, sodium erythorbate, sodium nitrite, dehydrated garlic, BHA, BHT, citric acid.
Salami and Cheese Pepperoni (Regular)	Regular	96.28	8.6	3	19.39	352.04	0.67	0.11	0.42	4.03		Pork, beef, salt contains 2% or less of spices, lactic acid starter culture, oleoresin of paprika, sodium erythorbate, sodium nitrite, dehydrated garlic, BHA, BHT, citric acid.
California Club Sub Pepperoni (Regular)	Regular	96.28	8.6	3	19.39	352.04	0.67	0.11	0.42	4.03		Pork, beef, salt contains 2% or less of spices, lactic acid starter culture, oleoresin of paprika, sodium erythorbate, sodium nitrite, dehydrated garlic, BHA, BHT, citric acid.
Turkey Club Sub Pepperoni (Regular)	Regular	96.28	8.6	3	19.39	352.04	0.67	0.11	0.42	4.03		Pork, beef, salt contains 2% or less of spices, lactic acid starter culture, oleoresin of paprika, sodium erythorbate, sodium nitrite, dehydrated garlic, BHA, BHT, citric acid.
Mike's Hot Italian Pepperoni (Regular)	Regular	66.27	5.91	2.04	13.22	225.85	0.62	0.07	0.47	2.65		(Pork, beef, salt, dextrose, spices, lactic acid starter culture, oleoresin of paprika, dehydrated garlic, sodium nitrite, BHA*, BHT*, citric acid*) (*BHA, BHT, citric acid added to help protect flavor)
ChixRoni LTO Pepperoni (Regular)	Regular	79.52	7.09	2.45	15.86	271.03	0.74	0.09	0.56	3.19		(Pork, beef, salt, dextrose, spices, lactic acid starter culture, oleoresin of paprika, dehydrated garlic, sodium nitrite, BHA*, BHT*, citric acid*) (*BHA, BHT, citric acid added to help protect flavor)
#6 Halal Roast Beef and Provolone Pepperoni (Regular)	Regular	96.28	8.6	3	19.39	352.04	0.67	0.11	0.42	4.03		Pork, beef, salt contains 2% or less of spices, lactic acid starter culture, oleoresin of paprika, sodium erythorbate, sodium nitrite, dehydrated garlic, BHA, BHT, citric acid.
#7 Halal Turkey Breast and Provolone Pepperoni (Regular)	Regular	96.28	8.6	3	19.39	352.04	0.67	0.11	0.42	4.03		Pork, beef, salt contains 2% or less of spices, lactic acid starter culture, oleoresin of paprika, sodium erythorbate, sodium nitrite, dehydrated garlic, BHA, BHT, citric acid.
#9 Halal Club Supreme Pepperoni (Regular)	Regular	96.28	8.6	3	19.39	352.04	0.67	0.11	0.42	4.03		Pork, beef, salt contains 2% or less of spices, lactic acid starter culture, oleoresin of paprika, sodium erythorbate, sodium nitrite, dehydrated garlic, BHA, BHT, citric acid.
Halal Sliced Buffalo Chicken Sub Pepperoni (Regular)	Regular	96.28	8.6	3	19.39	352.04	0.67	0.11	0.42	4.03		Pork, beef, salt contains 2% or less of spices, lactic acid starter culture, oleoresin of paprika, sodium erythorbate, sodium nitrite, dehydrated garlic, BHA, BHT, citric acid.
Mike's Hot Italian Hard Salami (Regular)	Regular	89.39	7.67	3.07	18.88	367.77	0.77	0.02	0.71	4.02		(Pork, beef, salt, dextrose, lactic acid starter culture, spices, sodium ascorbate, garlic powder, sodium nitrite, BHA*, BHT*, citric acid*) (*BHA, BHT, citric acid added to help protect flavor).
#13 The Original Italian Hard Salami (Regular)	Regular	65.55	5.63	2.25	13.84	269.7	0.57	0.02	0.52	2.95		(Pork, beef, salt, dextrose, lactic acid starter culture, spices, sodium ascorbate, garlic powder, sodium nitrite, BHA*, BHT*, citric acid*) (*BHA, BHT, citric acid added to help protect flavor).
#11 Stickball Special Hard Salami (Regular)	Regular	89.39	7.67	3.07	18.88	367.77	0.77	0.02	0.71	4.02		(Pork, beef, salt, dextrose, lactic acid starter culture, spices, sodium ascorbate, garlic powder, sodium nitrite, BHA*, BHT*, citric acid*) (*BHA, BHT, citric acid added to help protect flavor).
Salami and Cheese Hard Salami (Regular)	Regular	331.98	28.5	11.39	70.11	1365.9	2.87	0.08	2.65	14.93		(Pork, beef, salt, dextrose, lactic acid starter culture, spices, sodium ascorbate, garlic powder, sodium nitrite, BHA*, BHT*, citric acid*) (*BHA, BHT, citric acid added to help protect flavor).
